Day,State_ID,State,Lat,Long_,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,Resident_Population_2020_Census,Population_Density_2020_Census,Density_Rank_2020_Census,SexRatio,Confirmed,Deaths,Recovered
2,41,South Carolina,33.8569,-80.945,154798,6073.710833,3204255,1.721998734,62234.08408,5118425,170.2,21,94,True,True,True
2,42,South Dakota,44.2998,-99.4388,5733,11284.46102,373946,1.503571107,42270.07242,886667,11.7,48,102,True,True,True
2,45,Utah,40.15,-111.8624,50073,8785.330313,2268187,0.459428945,70749.11774,3271616,39.7,42,101,True,True,True
2,46,Vermont,44.0459,-72.7107,2362,1232.233261,708246,1.807777344,113502.9624,643077,69.8,33,97,True,True,True
2,47,Virginia,37.7693,-78.17,322456,4203.083609,4337939,1.426321584,50822.20542,8631393,218.6,16,97,True,True,True
2,49,West Virginia,38.4912,-80.9545,26834,4984.356752,1552160,1.537049268,86608.96679,1793716,74.6,31,98,True,True,True
2,50,Wisconsin,44.2685,-89.6165,65894,8993.695764,5402674,1.003720028,92790.64391,5893718,108.8,27,99,True,True,True
2,51,Wyoming,42.756,-107.3025,1098,7701.478508,501784,0.982657663,86699.99084,576851,5.9,51,104,True,False,True
3,1,Alabama,32.3182,-86.9023,164924,7585.559182,1900070,1.310178688,38751.75014,5024279,99.2,29,94,True,True,False
3,2,Alaska,61.3707,-152.4044,40718,6574.851855,1293837,0.447004033,176863.6242,733391,1.3,52,109,True,False,False
3,3,Arizona,33.7298,-111.4312,468633,7643.98451,5257472,1.628551504,40154.97511,7151502,62.9,35,99,True,False,True
3,4,Arkansas,34.9697,-92.3731,26025,7736.585941,2079788,1.605739373,68917.26567,3011524,57.9,36,96,True,True,False
3,5,California,36.1162,-119.6816,2400292,6142.225913,33812786,1.097600672,85575.50913,39538223,253.7,13,99,True,True,False
3,6,Colorado,39.0598,-105.3111,318011,5925.779546,4502496,1.445860806,78185.4907,5773714,55.7,39,101,True,True,True
3,7,Connecticut,41.5978,-72.7554,174221,5332.530032,4383361,3.207973911,122945.5301,3605944,744.7,6,95,False,False,False
3,8,Delaware,39.3185,-75.5071,39703,6108.666987,996096,1.563445632,102293.3688,989948,508,8,94,True,True,False
3,9,District of Columbia,38.8974,-77.0268,7898,4217.363397,918000,2.667652197,130074.5733,689545,11280,1,96,True,True,True
3,10,Florida,27.7663,-81.6868,1343449,6357.44818,16020601,1.610254893,74591.66205,21538187,401.4,10,96,True,True,False
3,11,Georgia,33.0406,-83.6431,679936,6507.228731,5462241,1.586915617,51446.01473,10711908,185.6,19,95,True,True,False
3,12,Hawaii,21.0943,-157.4983,10056,1575.213014,825956,1.295789804,58335.49925,1455271,226.6,15,101,True,False,False
3,13,Idaho,44.2405,-114.4788,80895,7974.360194,548008,1.016090438,30665.2528,1839106,22.3,46,101,True,False,True
3,15,Indiana,39.8494,-86.2583,169171,7814.22886,5792697,1.610999276,86044.39339,6785528,189.4,18,97,True,True,True
3,17,Kansas,38.5266,-96.7265,222830,7905.567337,1012506,1.246993235,34754.44116,2937880,35.9,43,99,False,False,False
3,18,Kentucky,37.6681,-84.6701,236727,6196.178637,3210804,0.983653933,71867.48001,4505836,114.1,25,97,True,True,True
3,19,Louisiana,31.1695,-91.8678,49809,6906.264291,4256466,2.34755091,91560.64992,4657757,107.8,28,96,True,True,False
3,20,Maine,44.6939,-69.3819,13768,1903.866354,1112804,1.402782119,82784.85834,1362359,44.2,40,96,True,True,True
3,21,Maryland,39.0639,-76.8021,269947,4719.386405,5834126,2.100806466,96500.74102,6177224,636.1,7,94,True,True,True
3,22,Massachusetts,42.2302,-71.5301,113380,5624.400889,11090924,3.252833654,160912.8643,7029917,901.2,5,94,True,True,False
3,23,Michigan,43.3266,-84.5361,161204,5388.291832,8122575,2.472678078,81332.6455,10077331,178,20,97,False,False,False
3,24,Minnesota,45.6945,-93.9002,11636,7456.940453,5476196,1.305214199,97102.00949,5706494,71.7,32,99,True,True,True
3,25,Mississippi,32.7416,-89.6787,49927,7461.353581,1349719,2.193541414,45351.19041,2961279,63.1,34,94,True,True,False
3,26,Missouri,38.4561,-92.2884,407102,6726.563635,3691231,1.389406983,60142.96217,6154913,89.5,30,96,True,True,False
3,27,Montana,46.9219,-110.4544,4908,7707.961803,795796,1.179883711,74458.49372,1084225,7.4,50,101,True,True,True
3,28,Nebraska,41.1254,-98.2681,61365,8736.523009,1769798,0.989349112,91490.41981,1961504,25.5,45,100,True,True,False
3,29,Nevada,38.3135,-117.0554,228434,7519.554204,2122793,1.372974,68918.35998,3104614,28.3,44,101,True,True,False
3,30,New Hampshire,43.4525,-71.5639,6096,3416.167112,1051054,1.679224973,77299.80856,1377529,153.8,23,98,True,True,True
3,31,New Jersey,40.2989,-74.521,415961,5539.647317,7801895,3.903731795,87837.5153,9288994,1263,2,95,True,True,True
3,32,New Mexico,34.8405,-106.2485,74967,6981.685202,2006168,1.742557755,95676.28071,2117522,17.5,47,98,True,True,True
3,33,New York,42.1657,-74.9481,881080,5263.2883,25849104,3.751842226,132875.9501,20201249,428.7,9,94,True,True,True
3,34,North Carolina,35.6301,-79.8064,154526,5386.341299,7132661,1.223173383,68007.28331,10439388,214.7,17,95,True,True,False
3,35,North Dakota,47.5289,-99.784,1852,12209.11159,1291452,1.407981428,169468.101,779094,11.3,49,105,True,False,True
3,36,Ohio,40.3888,-82.7649,132822,6172.254494,7898946,1.257967985,67575.31375,11799448,288.8,12,96,True,True,True
3,37,Oklahoma,35.5653,-96.9289,36232,7684.463697,2698390,0.837630561,68193.32262,3959353,57.7,37,98,True,True,True
3,38,Oregon,44.572,-122.0709,110375,2791.662923,2652670,1.273939445,62893.20553,4237256,44.1,41,98,True,True,False
3,39,Pennsylvania,40.5908,-77.2098,195152,5193.825741,7715509,2.440920842,30926.31153,13002700,290.6,11,96,True,True,False
3,40,Rhode Island,41.6809,-71.5118,80791,8302.080216,1974498,2.020489147,186385.7552,1097379,1061.4,3,95,False,True,False
3,41,South Carolina,33.8569,-80.945,161257,6247.56007,3261427,1.700194921,63344.49729,5118425,170.2,21,94,True,True,True
3,42,South Dakota,44.2998,-99.4388,5988,11363.92667,375955,1.504993435,42497.16557,886667,11.7,48,102,True,True,True
3,45,Utah,40.15,-111.8624,49817,8842.068424,2274838,0.458950235,70956.57523,3271616,39.7,42,101,True,True,True
3,46,Vermont,44.0459,-72.7107,2381,1248.900221,711104,1.796484024,113960.9833,643077,69.8,33,97,True,True,True
3,47,Virginia,37.7693,-78.17,327273,4261.779512,4365480,1.408601707,51144.86887,8631393,218.6,16,97,True,True,True
3,49,West Virginia,38.4912,-80.9545,27418,5080.944811,1560022,1.511124778,87047.65848,1793716,74.6,31,98,True,True,True
3,50,Wisconsin,44.2685,-89.6165,66134,9038.230403,5411129,0.999724463,92935.8581,5893718,108.8,27,99,True,True,True
3,51,Wyoming,42.756,-107.3025,1369,7753.659122,501784,0.976044568,86699.99084,576851,5.9,51,104,True,False,True
4,1,Alabama,32.3182,-86.9023,167080,7629.632576,1903388,1.303946858,38819.42044,5024279,99.2,29,94,True,True,False
4,2,Alaska,61.3707,-152.4044,40980,6611.076557,1297498,0.450757811,177364.0719,733391,1.3,52,109,True,True,False
4,3,Arizona,33.7298,-111.4312,472998,7714.848647,5288658,1.614126815,40358.6099,7151502,62.9,35,99,True,True,True
4,4,Arkansas,34.9697,-92.3731,23083,7779.862443,2095621,1.618529608,69441.91869,3011524,57.9,36,96,True,True,True
4,5,California,36.1162,-119.6816,2431220,6221.112895,34127013,1.093527521,86370.77443,39538223,253.7,13,99,True,True,False
4,6,Colorado,39.0598,-105.3111,320088,5963.7219,4529774,1.439573718,78659.17104,5773714,55.7,39,101,True,True,True
4,7,Connecticut,41.5978,-72.7554,178668,5459.195852,4468860,3.168992376,125343.6259,3605944,744.7,6,95,True,True,False
4,8,Delaware,39.3185,-75.5071,40545,6195.854437,1004179,1.553047254,103123.4467,989948,508,8,94,True,True,False
4,9,District of Columbia,38.8974,-77.0268,7980,4237.200478,921119,2.665195292,130516.5151,689545,11280,1,96,True,True,True
4,10,Florida,27.7663,-81.6868,1354602,6409.855936,16095888,1.604570957,74942.19712,21538187,401.4,10,96,True,True,False
4,11,Georgia,33.0406,-83.6431,685092,6555.85635,5482790,1.576150435,51639.5551,10711908,185.6,19,95,True,True,False
4,12,Hawaii,21.0943,-157.4983,10131,1580.510103,828410,1.291446957,58508.82001,1455271,226.6,15,101,True,False,False
4,13,Idaho,44.2405,-114.4788,81026,8019.014417,549099,1.018108231,30726.30262,1839106,22.3,46,101,True,True,True
4,15,Indiana,39.8494,-86.2583,169605,7867.955573,5814026,1.607361315,86361.21315,6785528,189.4,18,97,True,True,True
4,17,Kansas,38.5266,-96.7265,226764,8042.284491,1024129,1.233477168,35153.40262,2937880,35.9,43,99,True,True,True
4,18,Kentucky,37.6681,-84.6701,238938,6248.040087,3224871,0.984803433,72182.3419,4505836,114.1,25,97,True,True,True
4,19,Louisiana,31.1695,-91.8678,50884,6930.421094,4265759,2.354266701,91760.55123,4657757,107.8,28,96,True,True,False
4,20,Maine,44.6939,-69.3819,14058,1931.76374,1133981,1.390226056,84360.27948,1362359,44.2,40,96,True,True,True
4,21,Maryland,39.0639,-76.8021,272392,4760.457054,5869617,2.09414806,97087.78831,6177224,636.1,7,94,True,True,True
4,22,Massachusetts,42.2302,-71.5301,118225,5695.579675,11146494,3.227721057,161719.1026,7029917,901.2,5,94,True,True,False
4,23,Michigan,43.3266,-84.5361,166609,5443.264082,8294479,2.463342353,83053.9478,10077331,178,20,97,True,True,False
4,24,Minnesota,45.6945,-93.9002,12630,7512.688771,5484851,1.298597081,97255.47695,5706494,71.7,32,99,True,True,True
4,25,Mississippi,32.7416,-89.6787,36690,7515.651938,1351335,2.18350568,45405.48877,2961279,63.1,34,94,True,True,True
4,26,Missouri,38.4561,-92.2884,408477,6748.967157,3697356,1.384794779,60242.75967,6154913,89.5,30,96,True,True,False
4,27,Montana,46.9219,-110.4544,5056,7734.440642,810880,1.179473531,75869.82516,1084225,7.4,50,101,True,True,True
4,28,Nebraska,41.1254,-98.2681,55047,8766.764819,1775908,0.991833004,91806.27872,1961504,25.5,45,100,True,True,True
4,29,Nevada,38.3135,-117.0554,229826,7565.590834,2140442,1.375776717,69491.35044,3104614,28.3,44,101,True,True,False
4,30,New Hampshire,43.4525,-71.5639,6200,3480.739657,1055767,1.650185936,77646.42634,1377529,153.8,23,98,True,True,True
4,31,New Jersey,40.2989,-74.521,416709,5551.58131,7804170,3.898787675,87863.12835,9288994,1263,2,95,True,True,True
4,32,New Mexico,34.8405,-106.2485,74838,7025.608669,2012759,1.747276245,95990.61249,2117522,17.5,47,98,True,True,True
4,33,New York,42.1657,-74.9481,891601,5321.077205,25983464,3.728871195,133566.6205,20201249,428.7,9,94,True,True,True
4,34,North Carolina,35.6301,-79.8064,76080,5435.797425,7167886,1.21748221,68343.14065,10439388,214.7,17,95,True,True,True
4,35,North Dakota,47.5289,-99.784,1915,12235.22496,1256505,1.407121407,164882.2537,779094,11.3,49,105,True,True,True
4,36,Ohio,40.3888,-82.7649,133189,6223.088176,7929279,1.256902792,67834.81192,11799448,288.8,12,96,True,True,True
4,37,Oklahoma,35.5653,-96.9289,36646,7752.672436,2701089,0.831890889,68261.53136,3959353,57.7,37,98,True,True,True
4,38,Oregon,44.572,-122.0709,111077,2808.449175,2722777,1.27139034,64555.40021,4237256,44.1,41,98,True,True,False
4,39,Pennsylvania,40.5908,-77.2098,188137,5233.866394,7735808,2.437917793,30981.77166,13002700,290.6,11,96,True,True,True
4,40,Rhode Island,41.6809,-71.5118,85217,8751.313292,2046375,2.000906071,193170.6944,1097379,1061.4,3,95,True,True,True
4,41,South Carolina,33.8569,-80.945,163898,6321.423175,3282238,1.684937568,63748.69531,5118425,170.2,21,94,True,True,True
4,42,South Dakota,44.2998,-99.4388,6031,11376.47387,376356,1.503333565,42542.49377,886667,11.7,48,102,True,False,True
4,45,Utah,40.15,-111.8624,50030,8909.442981,2284687,0.456879982,71263.78449,3271616,39.7,42,101,True,True,True
4,46,Vermont,44.0459,-72.7107,2368,1261.72096,712861,1.829035946,114242.5588,643077,69.8,33,97,True,True,True
4,47,Virginia,37.7693,-78.17,330843,4305.959602,4383477,1.396325802,51355.71721,8631393,218.6,16,97,True,True,True
4,49,West Virginia,38.4912,-80.9545,27362,5127.146378,1566412,1.519273883,87404.21405,1793716,74.6,31,98,True,True,True
4,50,Wisconsin,44.2685,-89.6165,66073,9066.156868,5423138,0.998160535,93142.11204,5893718,108.8,27,99,True,True,True
4,51,Wyoming,42.756,-107.3025,1399,7819.662416,514334,0.967806085,88868.42364,576851,5.9,51,104,True,False,True
5,1,Alabama,32.3182,-86.9023,172570,7741.763772,1910881,1.287168098,38972.23947,5024279,99.2,29,94,True,True,False
5,2,Alaska,61.3707,-152.4044,41177,6638.005864,1302859,0.44892916,178096.9045,733391,1.3,52,109,True,False,False
5,3,Arizona,33.7298,-111.4312,477855,7796.346526,5324030,1.641837335,40580.3935,7151502,62.9,35,99,True,True,True
5,4,Arkansas,34.9697,-92.3731,24435,7915.95478,2104323,1.605773417,69730.27407,3011524,57.9,36,96,True,True,True
5,5,California,36.1162,-119.6816,2468414,6316.56184,34330784,1.09783822,86886.4908,39538223,253.7,13,99,True,True,False
5,6,Colorado,39.0598,-105.3111,323368,6023.769799,4562056,1.438772186,79219.74544,5773714,55.7,39,101,True,True,True
5,7,Connecticut,41.5978,-72.7554,180976,5524.604331,4499515,3.143657853,126203.4445,3605944,744.7,6,95,True,True,False
5,8,Delaware,39.3185,-75.5071,41302,6274.620955,1013723,1.549918167,104103.561,989948,508,8,94,True,True,False
5,9,District of Columbia,38.8974,-77.0268,8028,4274.324158,926717,2.6553073,131309.7149,689545,11280,1,96,True,True,True
5,10,Florida,27.7663,-81.6868,1369935,6481.702425,16196076,1.593824684,75408.67085,21538187,401.4,10,96,True,True,False
5,11,Georgia,33.0406,-83.6431,695082,6650.898245,5509880,1.567929942,51894.70176,10711908,185.6,19,95,True,True,False
5,12,Hawaii,21.0943,-157.4983,10238,1588.067283,832476,1.285301312,58795.99286,1455271,226.6,15,101,True,False,False
5,13,Idaho,44.2405,-114.4788,81879,8105.07732,550308,1.015582389,30793.95545,1839106,22.3,46,101,True,True,True
5,15,Indiana,39.8494,-86.2583,169561,7918.384711,5845344,1.62507527,86826.40894,6785528,189.4,18,97,True,True,True
5,17,Kansas,38.5266,-96.7265,225508,8002.432968,1024129,1.28036854,35153.40262,2937880,35.9,43,99,False,True,False
5,18,Kentucky,37.6681,-84.6701,240561,6285.934535,3234501,0.987056457,72397.89036,4505836,114.1,25,97,True,True,True
5,19,Louisiana,31.1695,-91.8678,55301,7026.510532,4307755,2.337378462,92663.92531,4657757,107.8,28,96,True,True,False
5,20,Maine,44.6939,-69.3819,14614,1976.25077,1143104,1.389045737,85038.96707,1362359,44.2,40,96,True,True,True
5,21,Maryland,39.0639,-76.8021,274288,4792.810734,5894499,2.098992953,97499.35491,6177224,636.1,7,94,True,True,True
5,22,Massachusetts,42.2302,-71.5301,122796,5762.812145,11206212,3.205925449,162585.5223,7029917,901.2,5,94,True,True,False
5,23,Michigan,43.3266,-84.5361,169423,5473.613971,8319486,2.489380618,83304.3469,10077331,178,20,97,True,True,False
5,24,Minnesota,45.6945,-93.9002,13074,7540.580662,5499303,1.298026389,97511.73481,5706494,71.7,32,99,True,True,True
5,25,Mississippi,32.7416,-89.6787,38366,7575.023966,1409022,2.206756445,47343.79898,2961279,63.1,34,94,True,True,False
5,26,Missouri,38.4561,-92.2884,410936,6792.519603,3711328,1.427248696,60470.41204,6154913,89.5,30,96,True,True,False
5,27,Montana,46.9219,-110.4544,4924,7801.245909,813082,1.20535393,76075.85485,1084225,7.4,50,101,True,True,True
5,28,Nebraska,41.1254,-98.2681,55092,8841.619762,1781797,0.98928277,92110.71294,1961504,25.5,45,100,True,True,True
5,29,Nevada,38.3135,-117.0554,232220,7644.255681,2150738,1.373935572,69825.61922,3104614,28.3,44,101,True,True,False
5,30,New Hampshire,43.4525,-71.5639,6480,3529.573564,1061333,1.650275046,78055.77803,1377529,153.8,23,98,True,True,True
5,31,New Jersey,40.2989,-74.521,422815,5625.144249,8067673,3.879224075,90829.77284,9288994,1263,2,95,True,True,True
5,32,New Mexico,34.8405,-106.2485,75168,7082.074885,2023459,1.74681311,96500.90685,2117522,17.5,47,98,True,True,True
5,33,New York,42.1657,-74.9481,904159,5388.63296,26135866,3.695860175,134350.0349,20201249,428.7,9,94,True,True,True
5,34,North Carolina,35.6301,-79.8064,81310,5486.187944,7200171,1.215858296,68650.96618,10439388,214.7,17,95,True,True,False
5,35,North Dakota,47.5289,-99.784,1884,12268.55558,1258364,1.421481592,165126.1971,779094,11.3,49,105,True,True,True
5,36,Ohio,40.3888,-82.7649,129535,6287.934914,7961105,1.258090103,68107.08267,11799448,288.8,12,96,True,True,True
5,37,Oklahoma,35.5653,-96.9289,34004,7790.504403,2738033,0.834014559,69195.17479,3959353,57.7,37,98,True,True,True
5,38,Oregon,44.572,-122.0709,112068,2832.988401,2722777,1.297201393,64555.40021,4237256,44.1,41,98,True,True,False
5,39,Pennsylvania,40.5908,-77.2098,190722,5303.847707,7794549,2.435353271,31159.6034,13002700,290.6,11,96,True,True,True
5,40,Rhode Island,41.6809,-71.5118,86300,8859.302919,2059444,1.992498828,194404.3626,1097379,1061.4,3,95,True,True,True
5,41,South Carolina,33.8569,-80.945,165469,6371.940644,3298481,1.675846534,64064.17214,5118425,170.2,21,94,True,True,True
5,42,South Dakota,44.2998,-99.4388,6034,11425.41929,377362,1.496893427,42656.20991,886667,11.7,48,102,True,False,True
5,45,Utah,40.15,-111.8624,51443,9012.937786,2295396,0.454056224,71597.81881,3271616,39.7,42,101,True,True,True
5,46,Vermont,44.0459,-72.7107,2426,1288.163734,719758,1.853694949,115347.8667,643077,69.8,33,97,True,True,True
5,47,Virginia,37.7693,-78.17,334987,4357.239437,4404641,1.395756534,51603.66933,8631393,218.6,16,97,True,True,True
5,49,West Virginia,38.4912,-80.9545,27316,5198.345895,1576908,1.547841395,87989.88029,1793716,74.6,31,98,True,True,True
5,50,Wisconsin,44.2685,-89.6165,67874,9135.182984,5445697,1.008855214,93529.56169,5893718,108.8,27,99,True,True,True
5,51,Wyoming,42.756,-107.3025,1542,7873.570865,515527,1.018236082,89074.55435,576851,5.9,51,104,True,True,True
6,1,Alabama,32.3182,-86.9023,167506,7835.396788,1921210,1.299897966,39182.89846,5024279,99.2,29,94,True,True,True
6,2,Alaska,61.3707,-152.4044,41514,6684.346144,1311015,0.449906951,179211.8052,733391,1.3,52,109,True,True,False
6,3,Arizona,33.7298,-111.4312,484022,7895.34749,5374504,1.643349342,40859.31628,7151502,62.9,35,99,True,True,True
6,4,Arkansas,34.9697,-92.3731,28075,8038.726173,2104323,1.608043101,69730.27407,3011524,57.9,36,96,True,True,False
6,5,California,36.1162,-119.6816,2502931,6405.250851,34548621,1.103420699,87437.80627,39538223,253.7,13,99,True,True,False
6,6,Colorado,39.0598,-105.3111,325866,6068.171904,4597755,1.445128058,79839.65579,5773714,55.7,39,101,True,True,False
6,7,Connecticut,41.5978,-72.7554,183424,5594.332237,4528777,3.123527229,127024.1919,3605944,744.7,6,95,True,True,False
6,8,Delaware,39.3185,-75.5071,41931,6339.215662,1020329,1.534124966,104781.9595,989948,508,8,94,True,True,False
6,9,District of Columbia,38.8974,-77.0268,8215,4319.099283,932102,2.644183453,132072.7341,689545,11280,1,96,True,True,True
6,10,Florida,27.7663,-81.6868,1387589,6564.499789,16310438,1.582871482,75941.13849,21538187,401.4,10,96,True,True,False
6,11,Georgia,33.0406,-83.6431,702675,6723.288693,5523221,1.564075983,52020.35371,10711908,185.6,19,95,True,True,False
6,12,Hawaii,21.0943,-157.4983,10353,1596.895765,836346,1.322423706,59069.32265,1455271,226.6,15,101,True,True,False
6,13,Idaho,44.2405,-114.4788,82403,8175.751861,552026,1.018438668,30890.09074,1839106,22.3,46,101,True,True,True
6,15,Indiana,39.8494,-86.2583,173044,8009.677047,5894505,1.621389057,87556.64366,6785528,189.4,18,97,True,True,True
6,17,Kansas,38.5266,-96.7265,230606,8182.125236,1037519,1.266932639,35613.01665,2937880,35.9,43,99,True,True,True
6,18,Kentucky,37.6681,-84.6701,245913,6413.629646,3247372,0.97926991,72685.98217,4505836,114.1,25,97,True,True,True
6,19,Louisiana,31.1695,-91.8678,45470,7174.41986,4334992,2.302982694,93249.8192,4657757,107.8,28,96,True,True,True
6,20,Maine,44.6939,-69.3819,15111,2015.307109,1151056,1.373200443,85630.54042,1362359,44.2,40,96,True,True,True
6,21,Maryland,39.0639,-76.8021,277381,4844.847891,5932780,2.093518696,98132.55085,6177224,636.1,7,94,True,True,True
6,22,Massachusetts,42.2302,-71.5301,129545,5862.209998,11308785,3.176810963,164073.7044,7029917,901.2,5,94,True,True,False
6,23,Michigan,43.3266,-84.5361,174220,5522.237877,8364930,2.478159486,83759.38496,10077331,178,20,97,True,True,False
6,24,Minnesota,45.6945,-93.9002,15081,7581.824488,5519178,1.308739508,97864.15142,5706494,71.7,32,99,True,True,True
6,25,Mississippi,32.7416,-89.6787,41119,7668.802872,1411813,2.196420356,47437.57789,2961279,63.1,34,94,True,True,False
6,26,Missouri,38.4561,-92.2884,413185,6829.701302,3724603,1.427351325,60686.70785,6154913,89.5,30,96,True,True,False
6,27,Montana,46.9219,-110.4544,4931,7865.057103,817142,1.207470854,76455.72794,1084225,7.4,50,101,True,True,True
6,28,Nebraska,41.1254,-98.2681,56517,8915.85436,1795682,0.987423827,92828.5036,1961504,25.5,45,100,True,True,False
6,29,Nevada,38.3135,-117.0554,234098,7707.174572,2162129,1.387993749,70195.43815,3104614,28.3,44,101,True,True,False
6,30,New Hampshire,43.4525,-71.5639,6785,3591.792668,1068111,1.670830091,78554.26631,1377529,153.8,23,98,True,True,True
6,31,New Jersey,40.2989,-74.521,427236,5681.560516,8113523,3.868644815,91345.97436,9288994,1263,2,95,True,True,True
6,32,New Mexico,34.8405,-106.2485,75254,7152.896111,2032578,1.760854491,96935.80163,2117522,17.5,47,98,True,True,True
6,33,New York,42.1657,-74.9481,920006,5470.96236,26333682,3.656122304,135366.8976,20201249,428.7,9,94,True,True,False
6,34,North Carolina,35.6301,-79.8064,88182,5552.472692,7243218,1.215081017,69061.4034,10439388,214.7,17,95,True,True,False
6,35,North Dakota,47.5289,-99.784,1987,12312.90892,1262673,1.421689829,165691.6366,779094,11.3,49,105,True,True,True
6,36,Ohio,40.3888,-82.7649,127975,6354.783516,7908645,1.261145073,67658.28849,11799448,288.8,12,96,True,True,True
